,offer_id,offer_type,adv_id,contractCode,kunlun_code,supid,traffic,country,created,type,adv_currency,revenue,t1,t2,outcome_dollar,cost,t3,t4
192,mps,OFLX_GA,SD2022062581,CS2022045249,,,,ID,20230202000000,JSXMLX_1,USD,0,0,0,,0,0,0
193,ttt,OFLX_GA,SD2022082985,CS2022076390,,,,IN,20230202000000,JSXMLX_1,USD,11200,0,0,,0,0,0
194,lit,OFLX_GA,SD202109889,CS2021092054,219,PCL20210108596,,IN,20230202000000,JSXMLX_1,USD,0,0,0,USD,74670,0,0
195,gxm,OFLX_GA,S0270,CS2022024288,,,,IN,20230202000000,JSXMLX_1,USD,535200,0,0,,0,0,0
196,mlt,OFLX_GA,S0084,CS2021112974,112380,PCL20210109713,,VN,20230202000000,JSXMLX_1,USD,115200,0,0,USD,350800,0,0
197,nsm2,OFLX_GA,S0263,CS2021102560,,,,ID,20230202000000,JSXMLX_1,USD,42000,0,0,,0,0,0
198,adz,OFLX_GA,S0269,CS2021030008,,,,IN,20230202000000,JSXMLX_1,USD,420000,0,0,,0,0,0
199,phm2,OFLX_GA,S0199,CS2022045048,112114,PCS2020070001,,RU,20230202000000,JSXMLX_1,USD,5000,0,0,USD,600,0,0
200,mvt2,OFLX_GA,S0054,CS2022087122,,,,ES,20230202000000,JSXMLX_1,USD,2500,0,0,,0,0,0
201,rcm,OFLX_GA,S0095,CS2022045182,G104636,YMCS201909004,,ID,20230202000000,JSXMLX_1,USD,8500,0,0,USD,0,0,0
202,pdw,OFLX_GA,S0223,CS2021081831,,,,JP,20230202000000,JSXMLX_1,USD,41000,0,0,,0,0,0
203,omb,OFLX_GA,SD2022052483,CS2022055467,G105025,,,KR,20230202000000,JSXMLX_1,USD,467100,0,0,,354257,0,0
204,gxm,OFLX_GA,S0270,CS2022024288,,,,VN,20230202000000,JSXMLX_1,USD,15000,0,0,,0,0,0
205,xap,OFLX_GA,SD2022031991,CS2022034518,,,,IN,20230202000000,JSXMLX_1,USD,1368000,0,0,,0,0,0
206,pdw,OFLX_GA,S0223,CS2021081831,,,,BR,20230202000000,JSXMLX_1,USD,5000,0,0,,0,0,0
207,bat,OFLX_GA,SD2022062576,CS2022055559,,,,VN,20230202000000,JSXMLX_1,USD,300000,0,0,,0,0,0
